职业代码,职业名称,职业说明,职业任务
6-16-01-14,矿石处理工,操作破碎、筛分、输送、磨矿等机械设备，进行矿石破碎、磨矿、分级和运输等加工处理的人员。,"['操作卸矿设备，向原矿槽卸料', '操作破碎机及附属设备，破碎矿物，剔拣出杂物，调整排矿口，控制破碎粒度', '操作筛分和运料设备，筛分和运输矿石', '操作给矿、磨矿、分级等设备，调整磨矿参数，添加磨矿介质，进行磨矿分级', '操作供料集中控制系统，启停生产线，监控运行情况，协调工序操作，填写生产记录', '使用仪器、机具，进行矿物采样、制样', '维护保养设备，处理故障']"
6-16-01-15,选矿工,操作选矿设备，采用重选、浮选、磁选、风选等方法，选别不同性质原矿的人员。,"['操作重力选矿、给矿等设备，利用矿物密度和品位的差异，选别矿物', '操作浮选机、矿浆预处理器、加药装置等设备，利用矿物表面物理化学性质的差异，选别回收细粒矿物', '操作磁选机、磁聚机、浓缩机等设备，利用原矿不同磁性，选别矿物', '监控、调整给矿量及风、水、介质']"
6-16-01-16,选矿脱水工,操作浓缩机、过滤机、干燥机等设备，进行矿物脱水(介)处理的人员。,"['操作浓缩机、离心机、筛分机等设备进行细粒浓缩，筛分分级，脱去矿物的水分、介质。', '操作过滤机等设备，调整给矿量、真空度、变频，脱去细粒物料的水分，更换过滤介质。', '操作干燥机及加热设备，控制干燥、加热过程，加热、干燥物料。', '操作集控系统，启停设备，监控运行情况，协调工序操作，记录生产数据。', '维护保养设备，处理故障。']"
6-16-01-17,尾矿工,操作尾矿处理设备，输送、储存尾矿，监控尾矿库技术参数，监督尾矿库使用的人员。,"['操作砂泵、胶泵、箕斗或矿车等设备，输送尾矿到尾矿库。', '操作浓缩设备，测试矿浆浓度，调整给矿量，将浓缩池中沉淀、分离后的有用矿物、尾矿砂分别输出。', '使用工具、机具，进行尾矿坝体筑坝、维护，堵塔眼及检查输送管道。', '驾驶机动船，巡护尾矿坝。', '处理尾矿管道跑矿浆、堵管故障。', '使用仪器、机具，监控尾矿库技术参数，指导筑坝放矿。', '监督尾矿库使用状况，记录、监控尾矿库安全数据。']"
6-16-02,石油和天然气开采与储运人员,从事石油、天然气勘探、钻井、井下作业、测试、开采、脱水、净化、集输等工作的人员。,[]
6-16-02-01,石油勘探工,,[]
6-16-02-02,钻井工,,[]
6-16-02-03,钻井协作工,,[]
6-16-02-04,井下作业设备操作维修工,,[]
6-16-02-05,水下钻井设备操作工,,[]
6-16-02-06,油气水井测试工,,[]
6-16-02-07,石油开采工,,[]
6-16-02-08,天然气开采工,,[]
6-16-02-09,煤层气排采集输工,,[]
6-16-02-10,天然气处理工,,[]
6-16-02-11,油气输送工,,[]
6-16-02-12,油气管道维护工,,[]
6-16-02-13,海上平台水手,,[]
6-16-02-01,石油勘探工,"操作石油勘探设备, 进行石油地球物理勘探及辅助作业的人员。","['操作石油地震勘探钻机、爆炸机、采集站、电源站、检波器串、地震电缆等, 进行石油地震勘探及辅助作业;', '操作大地测量仪器等设备, 提供石油天然气勘探所需位置依据和地理信息;', '操作可控震源, 激发大地有规律振动地震波;', '操作地震船震源设备, 激发压缩空气枪, 制造震源波;', '操作石油重力、磁力、电法等勘探仪, 进行石油勘探及辅助作业;', '使用断线仪、检波器测试仪等仪器, 检测、维修和校准地震电缆、检波器、采集站、电源站;', '填写生产记录.']"
6-16-02-02,钻井工,"操作石油钻机、钻井柴油机、钻井液固控等设备, 进行石油、天然气等资源钻井作业的人员。","['操作石油钻机等设备, 进行油、气、水井的起钻、下钻、钻进、取心、下套管等钻探作业;', '操作石油钻机及防喷设施, 进行防喷、抢险;', '操作钻井液搅拌机、加重设备, 配制钻井液;', '操作固控设备, 控制钻井液性能, 提供钻井液;', '操作钻井柴油机、发电机及附属设备, 提供钻井作业的动力和照明;', '填写生产记录.']"
6-16-02-03,钻井协作工,"操作井架安装、随钻测量、固井等设备, 进行井架安装、随钻测量、固井等生产协作的人员。","['操作井架安装设备, 安装、调试、拆卸井架、井架底座及基础设施;', '操作水泥化验设备, 检测水泥性能;', '操作固井设备、管汇, 泵送水泥浆, 进行油、气、水井固井作业;', '操作随钻测量设备、仪器, 进行钻井定向作业和井眼轨迹监测;', '维护随钻测量设备、固井设备及管汇等;', '填写生产记录.']"
6-16-02-04,井下作业设备操作维修工,"使用作业机、修井机、通井机、封隔器等设备和工具, 进行油、气、水井的检泵、配注、打捞、大修等井下作业及辅助作业的人员。","['使用防喷器、泵注设备、井口操作台、液压钳、通井机、封隔器等设备和工具, 进行油、气、水井的检泵、配注、打捞、大修、试油等井下作业;']"
6-16-02-04,井下作业工,操作作业机、修井机、通井机等设备，进行井下作业,"['操作作业机、修井机、通井机等设备，进行立放井架、吊装抽油机驴头、采油树、起下管杆等作业', '操作清洗机、组装机、试压泵等设备，进行井下作业工具、修井工具、地面工具等清洗、检查、拆装、试压、打标、修理', '操作泵送、混砂、控制、车载锅炉等设备，进行压裂、酸化、化堵、气举、增产增注等施工作业', '操作混配撬、配液泵、分选筛等设备，配制、检测压裂液、酸液、压井液等工作液，分选石英砂', '安装、调试、投产、维护、检修潜油电泵、螺杆泵等设备', '填写生产记录']"
6-16-02-05,水下钻井设备操作工,操作张力器系统、移动系统、井控控制系统、转喷系统的设备，进行张力载荷调整等作业,"['使用隔水管下入工具，进行隔水管下入与回收', '操作运移设备，进行水下井控设备、隔水管、采油树等连接与起放', '操作张力器的隔水管和导向绳，进行张力调整', '操作试压设备，进行隔水管试压', '操作井控控制系统设备，进行防喷器组功能试验与开关', '维护张力系统设备、运移设备和井控控制系统设备', '处理隔水管易损件、管汇部件、张力器系统、井控控制系统等设备故障']"
6-16-02-06,油气水井测试工,操作录井仪、地层测试器、测试绞车等仪器和设备，进行油、气、水井的录井、测井、射孔、取心、测试、绘解作业,"['操作录井仪，采集、整理、描述和分析钻时、岩屑、岩心、井壁取心、钻井液、气测、钻井工程等资料', '使用声法、电法、放射性等仪器和地面测井系统，测定、记录、整理油、气、水层的电阻率、声波速度、放射性强度等地球物理参数', '使用射孔取心仪等仪器和设备，收集、整理射孔、取心资料', '使用地层测试器、压力计等仪器，采集地层压力、温度等参数和油、气、水样品', '使用测试绞车、流量计、压力计、示功仪等设备和仪器，采集、记录、整理、分析油、水井的生产参数', '使用井口防喷系统、测试绞车、温度压力计、回声仪等，采集气、水井的温度、压力、样品，进行液面探测和工具安装', '验收、预处理、解释、绘制、整理测井资料', '操作综合测试仪、流量计、液面监测仪、压力计等标定装置，检测、校验、维护井下测试仪表']"
6-16-02-07,石油开采工,"操作各种机泵、捞油等注采设备, 将注入物进行配制、加压, 注入地层中, 驱替、采集地层中的石油及伴生天然气到井口, 并输送到集输系统的人员。","['操作注入井、采油井等注采设备, 驱替、采集地层中的石油及伴生天然气到井口, 并输送到集输系统;', '收集、审核、分析采油井、注入井的地质资料和生产动态数据;', '操作机泵设备, 输送清水或处理后的含油污水至高压注水管网;', '操作捞油车载设备, 收集油井中的石油到地面油罐中;', '操作高压柱塞泵、注入井井口等设备, 将升压后的聚合物母液与高压水配比混合后, 注入地层中;', '操作海洋注采井和平台设备, 采集海底地层中的石油、天然气到井口, 并进行处理;', '操作给水处理、湿蒸汽发生器等设备, 制备高温高压湿蒸汽, 并输送到注汽管网;', '操作分散装置、螺杆输送泵等设备, 将聚合物干粉与溶剂配制成聚合物母液, 并输送到注入站;', '维护保养设备, 调整运行参数, 进行故障分析和处理.']"
6-16-02-08,天然气开采工,"操作天然气井站注采设备, 采集地层天然气到集气站, 进行加热、分离脱水、加压、输送等作业的人员。","['操作天然气采集设备, 采集地层中的天然气到井口, 输送到集气站, 进行加热、分离脱水、输送等站场处理;', '操作压缩机组及附属设备, 加压、输送天然气至下游站场;', '操作校验设备, 监测、检测、校验、维护采输气的仪器仪表;', '监控天然气生产运行状态, 维护保养设备及仪表;', '填写生产记录.']"
6-16-02-09,煤层气排采集输工,"使用煤层气井排采或抽放、压缩等设备和煤层气集输管道, 进行煤层气预抽井、采动井、采空井增产、排采、集输等作业的人员。","['操作压裂泵车等设备, 进行增透、注气置换等作业;', '操作井场内抽油机和螺杆泵等排采设备、发电设备、脱硫设备、压缩机组以及附属设备进行排采生产集输作业;', '收集整理煤层气预抽井、采动井、采空井的排采数据;', '使用气相色谱仪等仪器, 检测采出煤层气组分;', '进行碰泵作业, 对煤层气井下抽采泵进行解卡操作.']"
6-16-02-10,天然气处理工,操作天然气处理装置、轻烃加工装置，进行天然气净化、液化、提氦等处理，回收和加工轻烃的人员。,"['操作天然气处理、轻烃加工、原油稳定等装置，进行天然气脱水、脱硫等处理，回收和加工轻烃，获取净化天然气、轻烃和稳定原油。', '操作天然气净化装置，进行原料天然气脱硫、脱碳、脱水、脱烃，回收硫黄和轻烃，并处理尾气。', '操作天然气提氦装置，进行原料天然气的脱碳、脱水、脱氢、低温精馏、精制等处理，生产工业氦气。', '操作天然气液化装置，进行天然气液化、存储、再气化，输送气态或液态天然气。', '维护保养生产设备，填写生产记录。']"
6-16-02-11,油气输送工,操作油、气处理与输送设备，收集、处理、储存、分析、计量、输送油、气的人员。,"['操作油气集输设备，收集、计量、储存井站原油、天然气，进行油气分离处理、加热、外输。', '操作油气田水处理装置，进行油气田水的除油、过滤，并输送至注水站。', '使用储罐、阀组、换热器、加热装置、机泵等设备，接收、储存、输送原油、成品油。', '使用流量计、密度测定仪、含水分析仪等仪器，进行原油的化验、计量、交接。', '操作阀组、计量等设备，计量及管道输送天然气、轻烃。', '使用计量设备、器具，计量成品油、烃类产品。', '操作油品装卸设备，进行铁路、公路、水路运输油品的装卸作业。']"
6-16-02-12,油气管道维护工,操作油气管道保护、维护设备和仪器，巡检、维护、修理石油、天然气管道及其附属设施的人员。,['使用管道保护仪器，检测、监测、维护、阴极保护原油、成品油、天然气管道及其附属设施。']
6-16-02-13,海上平台水手,从事海上吊装和钻完井辅助作业、海事作业、油气外输作业及平台应急作业的人员。,"['进行移动式平台拖航中的起抛锚作业;', '进行船舶靠离平台时的解系缆作业;', '进行油气外输作业、供油供水作业、钻完井辅助作业;', '指挥起重机司机进行人员、物资吊运作业;', '维护保养及操作起重设备与吊索具、消防救生设备与设施、锚机、油气输送设备、应急设备;', '接送直升机;', '操作应急设备, 进行堵漏等应急作业;', '进行海上平台甲板整理、清洁及防腐作业.']"
6-16-03-01,海盐制盐工,"操作扬水泵、联合收盐机等设备, 吸扬海水、制卤、晒制海盐, 采收、集拆坩原盐的人员。","['操作扬水泵等设备, 吸扬海水送入盐池;', '使用工具维护、保养、检查盐池情况, 利用风力和日照将海水分级晒制、蒸发, 缩小成初、中、高级卤水;', '人工清除结晶池的泥和活渣;', '检查结晶盐池情况, 晒制海盐;', '操作联合收盐机等设备, 采收结晶池原盐;', '操作扒盐机、转动式输盐管道、输送带等设备, 将结晶池原盐输送至坩地入坩、成码;', '苫盖、看护、计量、保管集坩原盐;', '维护保养盐田、机具、装置和设备, 记录生产情况.']"
6-16-03-02,湖盐制盐工,"使用钻孔、采盐船、洗涤、筛分、脱水等设备和器具, 进行湖盐矿钻孔、爆破、采盐的人员。",[]
6-16-03-03,井矿盐制盐工,操作抽油机、潜卤泵、注水、真空制盐等设备，利用水压对流汲取井矿盐卤水，净化、精制、蒸发、结晶、脱水、干燥卤水，制取井矿盐原盐的人员。,"['检查下井工器具、井口设备及出入井工具。', '操作高压泵向井矿注水，溶融岩盐。', '操作抽油机、潜卤泵或注水等设备，利用水压对流汲取井矿盐卤水。', '使用水泵、管道输送卤水、淡水。', '将净化配料及饱和精卤配制成净化溶液。', '操作搅拌器将原卤与净化溶液混合均匀，使其沉降、澄清，抽取卤泥，制取并维护保管净化、精制后的原料卤水。', '操作真空制盐设备，对原料卤水进行蒸发、结晶及排盐浆和母液。', '操作脱水、增稠、干燥等设备，脱水、干燥增稠盐浆。', '记录生产情况，维护保养设备。']"
6-17(GBM 61700),金属冶炼和压延加工人员,从事原矿及辅料加工冶炼并制成金属材料、半导体等产品的人员。,[]
6-17-01(GBM 61701),炼铁人员,,[]
6-17-02(GBM 61702),炼钢人员,,[]
6-17-03(GBM 61703),铸铁管人员,,[]
6-17-04(GBM 61704),铁合金冶炼人员,,[]
6-17-05(GBM 61705),重有色金属冶炼人员,,[]
6-17-06(GBM 61706),轻有色金属冶炼人员,,[]
6-17-07(GBM 61707),稀贵金属冶炼人员,,[]
6-17-08(GBM 61708),半导体材料制备人员,,[]
6-17-09(GBM 61709),金属轧制人员,,[]
6-17-01,炼铁人员,从事铁矿粉、矿石及辅料加工并冶炼成生铁的人员。,
6-17-01-01,烧结球团原料工,"操作接卸、破碎、筛分、配料、混合等设备, 处理铁矿粉, 进行粉矿造块的人员。","['操作皮带机, 接卸铁矿粉、锰矿粉、石灰石、焦粉、膨润土和煤等原料, 检查验收原料品质和数量。', '操作破碎、筛分设备, 处理石灰石、白云石等熔剂和碎焦、煤等燃料。', '计算配料比例, 核对配料准确性。', '操作圆盘给料器、配料皮带、电子秤等设备, 计量原料重量, 按配料比例调整放料量, 混配原料, 校验称量装置的精度。', '操作混合机, 加入水和蒸汽, 润湿、混匀原料, 提高料温, 造球。', '操作运料设备, 运送原料。', '监视含铁原料、副原料、配合料等矿槽装料情况, 操作矿槽给料装置放料。', '维护保养设备, 处理故障, 记录生产情况。']"
6-17-01-02,粉矿烧结工,"操作烧结机等设备, 将粉矿烧结造块的人员。","['操作布料设备, 将混合料分布在烧结机台车上。', '控制烧结系统设备启停, 操作点火炉等设备点火。', '使用烧结机, 观察料面、料厚、点火、机尾断面情况, 调控料厚、台车速度、抽风量和燃料量等运行参数, 控制燃烧、熔融过程, 生产烧结矿。', '操作破碎机, 破碎烧结矿。', '操作干稀油泵, 向设备注入润滑油。', '维护保养设备, 处理故障, 记录生产情况。']"
6-17-01-03,球团焙烧工,"操作焙烧窑等设备, 将铁粉矿等原料焙烧成球团矿的人员。","['操作烘干混合机, 调整温度, 烘干、混合原料。', '操作圆盘或圆筒式造球机, 调整原料量、水分, 将烘干、混合后的原料滚制成生球并筛分。', '操作布料设备, 将生球布入焙烧设备或链篦机内。', '操作链篦机, 调控温度, 干燥球团。', '维护保养设备, 处理故障, 记录生产情况。']"
6-17-01-04,烧结成品工,操作冷却、筛分、输送等设备，冷却、筛分、输送烧结矿的人员。,"['操作环冷机或带冷机，冷却热烧结矿；', '操作热或冷矿筛，筛分成品烧结矿；', '操作皮带机、链板机、提升机、破碎机等设备，处理成品，将合格品送至高炉矿槽，返矿返回原料场或烧结配料工序；', '操作给料机和放矿装置，将成品矿放入皮带机或火车内；', '维护保养设备，处理故障，记录生产情况。']"
6-17-01-05,高炉原料工,操作高炉原料系统和碾泥、磨煤、喷吹等设备，将原燃料装入高炉，制备煤粉、泥料、沟料，将煤粉喷吹入高炉的人员。,"['监控原料储存情况，联系原料运送，验收原料，将原料卸入矿槽；', '操作筛分设备，筛分矿石、焦炭等原燃料；', '使用称量设备，计量铁矿石、烧结矿、球团矿和焦炭等原料，并装入运送设备或料车；', '操作卷扬机或皮带机，将原料装入高炉；', '操作破碎、筛分、混合、碾制等设备，处理焦炭、耐火土等原料，将原料按配比配合、碾制成高炉铁口的泥料和修铺铁沟的沟料；', '操作破碎机、磨煤、干燥、输送等设备，处理原煤，制备煤粉；', '操作输煤泵，调控压力、流量，将煤粉输往高炉喷煤罐等设备；', '操作喷煤罐等设备，调控喷煤量，将煤粉喷吹入高炉；', '维护保养设备，处理故障，记录生产情况。']"
6-17-01-06,高炉炼铁工,操作高炉控制系统及炉前设备，调控炉况，出铁、出渣，铸铁的人员。,"['监控高炉控制系统设备，调整炉况，指挥高炉各岗位操作；', '操作出铁设备，打开出铁口，监控铁水在渣铁分离装置中分离炉渣情况，将铁水放入铁水罐或混铁车，将炉渣引入渣处理器；', '使用工具，将泥料装入泥炮，操作...']"
6-17-01-07,高炉运转工,操作热风炉、渣处理设备，预热空气，处理炉渣，监控维护高炉本体冷却设备的人员。,"['操作、监控热风炉及预热器、燃烧器、助燃风机，调整燃烧煤气量、气压、风量、温度等参数，进行烧炉、送风和换炉，将空气预热并送入高炉。', '操作、监视高炉煤气干法或湿法处理设备，进行高炉煤气除尘、脱水、降温，除尘器放灰、清灰、更换除灰布袋。', '监测、调控高炉冷却系统的水温、水压，维护高炉本体冷却设备及管道、阀门，插拔喷煤枪。', '操作冲渣和渣处理设备，处理炉渣。', '维护保养设备，处理故障，记录生产情况。']"
6-17-02,炼钢人员,从事铁水、废钢等原料加工并冶炼成钢，浇铸成钢锭、钢坯的人员。,[]
6-17-02-01,炼钢原料工,操作炼钢原料处理设备及混铁炉、铁水预处理装置，处理废钢、铁水及辅料的人员。,"['操作剪切、破碎等设备或采用气割等方式，碎断废钢。', '操作打包机，将轻薄废钢打包。', '检查、验收废钢、合金、辅料等。', '使用称量设备，计量、配合废钢、铁合金等辅助原料。', '指挥吊车卸料或将废钢等原料装入料斗，吊至炉前。', '操作皮带机，运送散料到炉前料仓。', '指挥吊车，调配铁水兑入铁水罐、混铁炉等设备。', '调控混铁炉炉温，混匀、保温铁水，操作倾动装置出铁。', '操作预处理设备，将处理剂加入铁水罐、混铁炉等设备中，除去铁水中有害或多余元素。', '维护保养设备，处理故障，记录生产情况。']"
6-17-02-02,炼钢工,操作转炉、电炉、炉外精炼等设备，将铁水、废钢等原料冶炼成钢水，并精炼钢水的人员。,"['指挥吊车或操作加料设备，将铁水、废钢等原料装入炉内。', '操作氧枪，调控氧气、冷却水流量，观察仪表，点火吹炼铁水。', '操作电弧、感应、真空、非真空、电渣炉等设备，利用电能熔化原料。', '加入造渣剂或合金，调控冶炼过程。', '进行钢水测温、取样。', '操作倾动设备，将钢水倒入钢水罐，炉渣倒入渣罐。', '向钢水罐加入渣料、合金料等。', '操作钢水罐车，指挥吊车吊运钢水罐。', '维护炉体，修补出钢口。', '操作精炼炉及喷粉、吹氩、喂线、加热、真空处理等设备，精炼处理钢水。', '维护保养设备，处理故障，记录生产情况。']"
6-17-02-03,炼钢浇铸工,操作连铸设备或钢水罐浇注装置，采用连铸或模铸方法，将钢水浇铸成钢坯或钢锭的人员。,"['指挥吊车，将钢水罐运至钢锭模或连铸机。', '操作钢水罐浇钢水口，调整流量，将钢水浇入钢锭模形成钢锭。', '使用工具，进行钢锭模压盖、封顶。', '控制钢水罐浇钢水口，调整流量及中间罐液面，将钢水放入连铸机中间罐。', '操作连铸机中间罐浇钢水口，调整流量，将钢水浇入连铸结晶器形成钢坯，捞出钢渣。', '操作连铸机，控制拉钢速度及水冷、液压系统、电磁搅拌、轻压下装置等。', '操作冷剪或火焰切割机，按定尺切割连铸坯。', '操作翻钢、推钢、移钢设备运送连铸坯，指挥吊车，堆码钢坯，处理铸坯表面、描号、发送。', '维护保养设备，处理故障，记录生产情况。']"
6-17-02-04,炼钢准备工,使用材料及工具，修砌、安装、清理、维护铁水罐、钢水罐、中间罐等，以及更换渣罐、处理钢渣的人员。,"['清理钢水罐或铁水罐内残渣、残钢，指挥吊车翻渣。', '使用工具，清理、拆装、修复铁水罐、钢水罐、真空室、浇钢滑动水口、中间罐等装置，检查、清理或更换透气砖，吊运、灌装引流沙，安装中间罐塞棒、水口等。', '使用工具和耐火材料，砌筑、修补、维护铁水罐、钢水罐、中间罐、真空室等装置，拆除内衬，养生及烘烤铁水罐、钢水罐、中间罐、真空室等装置。', '联系机车或指挥吊车换渣罐，运送钢水或浇铸后的钢水罐。']"
6-17-02-05,整模脱模工,使用工具、指挥吊车，脱钢锭模，并清理、整装钢锭模的人员。,"['指挥吊车，脱去钢锭的保温帽及钢锭模;', '给钢锭描号，填写钢锭输送传票及记录;', '指挥吊车，拔出脱下的钢锭模或中注管;', '使用工具，清理底板杂物，砌流钢砖;', '指挥吊车，摆放中注管、钢锭模、保温帽，挂绝热板，吹扫钢锭模;', '使用工具，进行钢锭模喷灰浆;', '切割钢锭模上的连钢、焊铁，处理残渣，准备原材料;', '处理故障，记录生产情况.']"
6-17-03,铸铁管人员,从事离心铸管生产线操作，生产铸铁管的人员。,[]
6-17-03-01,铸管备品工,操作专用设备，制作铸管砂芯及维修铸管管模的人员。,"['操作筛分、烘干设备，制备干燥的砂子;', '操作混砂机，制备芯砂;', '操作射芯机或手工将砂子制成铸管砂芯，检查、修磨砂芯，并刷涂料;', '操作打磨及打点设备，修整离心铸管管模;', '使用车床及专用焊机，修复管模;', '维护保养设备，处理故障，记录生产情况.']"
6-17-03-02,铸管工,操作铁水熔炼、离心铸管机等设备，熔炼铁水，将铁水浇铸成铸铁管的人员。,"['操作熔炼设备将铁水升温，向铁水中加入废钢、铁合金等，调整铁水的化学成分，制备铁水，进行铁水球化处理;', '调控管模温度，清理管模内壁，在内壁上喷涂涂料;', '操作离心铸管机，将铁水浇注成铸铁管;', '更换管模;', '操作退火炉，进行铸管退火处理;', '检查铸管的外观质量、组批编号;', '维护保养设备，处理故障，记录生产情况.']"
6-17-03-03,铸管精整工,使用喷锌机、校圆机、切管机、磨光机、涂衬机、喷涂机等设备及工具，加工处理铸铁管的人员。,"['操作喷锌机，进行铸管外表面喷锌。', '操作校圆机，校正铸管插口。', '操作切管机、倒角机，切割铸管的缺陷部位、金相性能试验环，并倒角。', '操作抛丸或打磨设备，清理铸管表面，打磨粘铁、粘砂、毛刺等。', '操作水压机，检查铸管漏点。', '操作设备，制备水泥砂浆，进行铸管涂衬、养生。', '操作设备，打磨铸管内衬，进行铸管表面抛丸处理。', '操作喷涂机，喷铸管防腐涂层。', '操作包装设备，进行铸管打包。', '维护保养设备，处理故障，记录生产情况。']"
6-17-04-01,铁合金原料工,操作破碎、磁选、筛分、计量、成型、选矿等设备，加工、处理铁合金原料的人员。,"['验收、计量矿石等原料。', '操作磁选设备，精选原料。', '操作筛分、破碎、磨矿、压型、烘干设备，处理原料并压制成型，干燥原料。', '操作配料或混料设备，按配料比例配料、混料或按配料比压型。', '操作设备，破碎、填装电极糊，接电极壳。', '维护保养设备，处理故障，填写生产记录。']"
6-17-04-02,铁合金火法冶炼工,操作矿热炉、电弧炉等设备，采取火法工艺，将矿石等原料冶炼成铁合金及副产品的人员。,"['操作加料设备，将原料装入矿热、电弧、真、转炉、高炉等冶炼炉内。', '监控炉料冶炼状态，调整冶炼参数，控制炉内压力及气氛。', '使用工具和设备，进行固态产品出炉、液态产品出铁、排渣，开、堵出铁口。', '操作设备，浇铸、翻扣模具中铁合金。', '操作水淬设备，水淬铁合金和炉渣。', '使用设备或工具，精整、计量、包装、装车外发铁合金产品。', '使用设备，将铁合金炉渣加工成为建材及装潢材料。']"
6-17-04-03,铁合金焙烧工,操作焙烧、烧结、熔化等设备，处理铁合金炉料的人员。,"['操作提升机及运料设备，将铁合金炉料装载加入焙烧、烧结、熔化等窑炉设备;', '使用焙烧、烧结、熔化等窑炉，监视、调控炉温，焙烧、烧结、熔化炉料;', '调整窑炉托轮、挡轮或调整烧结机链盘，控制排风机风量;', '操作设备，出炉并冷却炉料;', '操作熔化炉，调控炉温，熔化、粒化、结晶炉料;', '操作设备，破碎、筛分、输送炉料;', '维护保养设备，处理故障，填写生产记录;']"
6-17-04-04,铁合金湿法冶炼工,操作设备，采用湿法冶炼技术生产铁合金、冶炼原料及副产品的人员。,"['指挥吊车，将铁合金原料装入浸滤装置;', '向浸滤装置中加水，并进行浸出、液固分离，控制浸滤过程;', '控制温度、浓度、液固比，净化溶液，输往沉淀装置;', '使用吊车，将硫酸铵加入沉淀装置，调整温度、含酸度，制取铵盐;', '使用过滤器，过滤铵盐;', '操作设备，破碎硫黄等原料，称量原料，加入反应罐与铬酸钠反应，生成氢氧化铬;', '调整洗涤、管洗装置，处理氢氧化铬;', '操作离心机，甩干物料;', '使用燃硫炉、吸收炉、反应罐、蒸发罐、压滤、沉降、结晶、水洗等设备，加入二氧化硫及硫黄，将废液制成硫代硫酸钠;', '维护保养设备，处理故障，填写生产记录;']"
6-17-04-05,钒氮合金工,操作磨料、制球、干燥、推板窑等设备，进行钒原料氮化煅烧合成，制取钒氮合金的人员。,"['验收含钒原料，操作设备，磨料、混配料、制球;', '操作干燥等设备，干燥湿料球;', '操作推板窑，调控温度、氮气压力等参数，煅烧料球，制取钒氮合金;', '进行成品出炉，破碎、分选、包装成品;', '维护保养设备，处理故障，填写生产记录;']"
6-17-05,重有色金属冶炼人员,"从事重有色金属原料处理, 精炼铜、铅、锌、镍等重有色金属提取的人员。",[]
6-17-05-01,重冶备料工,"操作破碎、干燥、配料、混料、制团、制粒等设备, 制备重有色金属冶炼原料、燃料、熔剂的人员。","['操作破碎机、磨粉机, 破碎、细磨铜、铅、锌、镍、燃料、熔剂等块料;', '操作干燥、炉窑等设备, 进行湿物料脱水;', '操作抓斗机、圆盘配料机、混合机、计量器具等配料设备, 按配料比配合、混合原料、熔剂、燃料;', '操作制团机、制粒机、添加黏合剂、还原剂等, 进行物料制粒、压团;', '操作焦炭预热器、鼓风机、热风炉等设备, 预热焦炭、空气;', '使用吊车、链板、刮板、斗提、皮带运输机、管道等输送设备, 输送物料;', '维护保养设备, 处理故障, 填写生产记录.']"
6-17-05-02,重金属物料焙烧工,"操作、控制、调节焙烧炉、煅烧炉等设备, 将铜、铅、锌、镍等重有色金属物料制备成熔炼炉原料的人员。","['操作布料等设备, 进行铜、铅、锌、镍等重有色金属原料布料;', '操作回转窑、焙烧炉等焙烧窑炉, 焙烧粉料, 脱硫及有害杂质, 烧成焙砂;', '操作焦结炉, 焦结团矿;', '操作回转窑、焙烧炉等设备, 分离矿石或其他物料中的有价金属与脉石, 制成铜、铅、锌、镍等重有色金属的氧化物;', '操作煅烧窑, 将粉状物料煅烧成块;', '维护保养设备, 处理故障, 填写生产记录.']"
6-17-05-03,重冶火法冶炼工,"操作冶金炉窑, 熔炼、分离炉料中的铜、铅、锌、镍与脉石, 将粗金属除去杂质提纯的人员。","['操作冶金炉窑等设备, 分离铜、铅、锌、镍等重有色金属与脉石等杂质;', '加入炉料, 排渣, 放出金属液、锍;', '操作精炼炉窑提纯粗金属, 制取铜、铅、锌、镍等重有色金属精炼产品或成品化合物;', '操作铸型机等设备, 将金属液、锍铸型保温并脱模.']"
6-17-05-04,重冶湿法冶炼工,操作湿法冶炼设备或系统，从物料溶液中分离铜、铅、锌、镍等重有色金属及化合物，提取重有色金属的人员。,"['操作磨、配料及辅助设备，处理重有色金属物料，制成料浆。', '操作高压浸出设备或常压浸出设备，将重有色金属物料或杂质元素溶解在溶液中，浸出金属或回收浸出渣中的金属。', '操作净化设备，加入除杂剂，除杂净化浸出上清液。', '操作过滤设备，将浸出的矿浆或净化后液进行固液分离。', '操作萃取设备，加入萃取剂，富集提取溶液中的重有色金属。', '操作分离设备，添加还原剂，提取溶液中的金属。', '操作蒸发设备，进行溶液浓缩、结晶。', '检测生产过程的物料、产品等。', '维护保养设备，处理故障，记录生产数据。']"
6-17-05-05,电解精炼工,操作电解设备，进行电化学反应，分离粗金属电解质溶液中的杂质，制取铜、铅、锌、镍金属产品的人员。,"['使用设备或工具，除去导电铜棒（铜排）表面氧化膜和结晶、铜瘤等污物。', '操作浇铸机等设备，制备阳极和阴极板。', '操作起重设备，将阳极板、阴极板装入、吊出电解槽。', '操作泵等设备，调整电解液温度、循环流量、酸度、金属离子浓度等。', '监视监控系统，调整电流密度、槽电压等工艺参数。', '检查槽面，调整极距，处理短路、断路等工艺故障。', '使用剥片设备或工具，将铜、铅、锌、镍等阴极析出物分离。', '操作无芯炉、电炉等设备，将铜、铅、锌、镍等阴极析出物铸锭。', '处理工艺故障，维护保养相关设备，进行记录。']"
